caption,file_path,text,data
An engine hums as it idles and a man speaks,106579.wav,"Yeah, the next thing I'm going to add is an automatic start. I already got everything else, so I might as well get the automatic start going. Here's the front turn signal to headlight.",ac
Male and female speech and then water running,106577.wav,one in. Well that was on the go anyway. Well it was spraying all over so yeah.,ac
Male speaking then typing computer keyboards,105902.wav,"When you're in, just type in claim web. If it doesn't work, it's probably because you put it under the wrong process.",ac
A man talking and plastic clicking as a vehicle engine accelerates,105909.wav,second gear the car doesn't spool up too quick anymore because of the turbo and,ac
Waves roll in and a man speaks,107225.wav,"No, it's still there. I think it's huge.",ac
A man speaking then hissing,106356.wav,I'm gonna scratch your fucking eyes out!,ac
Laughter and a female speaking and then a male vocalizing a sneezing sound,106355.wav,She loves that laugh.,ac
An infant yelling as a young boy talks while a hard surface is slapped several times,103408.wav,"Say yeah, baby. Say yeah, baby. Are you over tired?",ac
Male speaking and birds chirping,106438.wav,We might be able to get away with taking off the bottom shelf. Oh yeah. Before you know we,ac
Male speech and then growling followed by male speech,106434.wav,but never mind I don't want kids anymore. That lady in the jump,ac
A man talking during footsteps on leaves as birds chirp in the background.,106432.wav,Both of them have the same numbers but for some reason the lace spring has a little stronger weed killer. That's for weeds that have already emerged and I guess the early,ac
A man speaking as a truck engine runs idle,106431.wav,tired of sitting around I'm here with Terry from another edge driver in truck 138 and he's fired up the barbecue he's cooking fajitas,ac
Bees buzz while two men talk followed by a sniffle,107389.wav,"Dark honey. These are honey cells here so... Yeah, there's a brood in here.",ac
People speak with wind blowing and distant hums of traffic,107387.wav,I'm melting!,ac
A man speaks followed by a toilet flush,107383.wav,real-life example. Years of research has proven that ChromaFlash technology is superior to what you would be used to here in North America. Don't try this with your site.,ac
"An adult male speaks while birds chirp, slight rustling and brief buzzing occur, and emergency vehicle sirens are blaring in the distance",107381.wav,Both of them have the same numbers but for some reason the lace spring has a little stronger weed killer. That's for weeds that have already emerged and I guess the early,ac
A nearby insect buzzes with nearby vibrations,107380.wav,and so also things like dandelions are brilliant. Lots of flowers right through the season from,ac
A whoosh effect followed by a woman talking then a man talking proceeded by another man talking over a radio as guitar music plays in the background,104124.wav,Let's talk BB talking. That's what I want.,ac
A woman crying followed by a man talking,103365.wav,"I just don't have it. It will come, it will come, but for now I have to feed my child and",ac
A group of children talking and laughing as a woman is speaking followed by a young boy speaking,103363.wav,Who is that?,ac
A man talks and then whistles,106256.wav,was the day that I do my video and I dropped a couple of hydrocodone so I'm on the,ac
A man talking as an idle truck engine runs,104740.wav,tired of sitting around I'm here with Terry from another edge driver in truck 138 and he's fired up the barbecue he's cooking fajitas,ac
Plastic crinkling followed by a woman talking then cardboard shuffling,106868.wav,And it's pretty soft too as well. Here's the tag.,ac
An adult female is speaking in a quiet environment,106865.wav,"abortion, each with their own cost. A medical abortion is one that uses pharmaceutical drugs rather than surgical method. It is known as the abortion pill. The pill is only effective during the first trimester.",ac
Female speech and sizzling,106864.wav,and in a pan I have some 80-20 ground beef that I am browning up and in this pot I have some water boiling and I'm going to,ac
Compressed air spraying multiple times as a man is talking with faint metal clanging in the background,106867.wav,"And as you can see here, hopefully you guys can see this.",ac
Kids laughing then talking followed by a young man talking as wind blows into a microphone,104576.wav,"Take a picture of her other, other, other lad and then take a picture of her other girl.",ac
A woman is speaking followed by a horse braying and speech from a crowd,104572.wav,What's a beautiful apple? Is that that mare? No. Oh my god.,ac
A man speaking over an intercom as a crowd of people applaud,104578.wav,Thank you.,ac
"A woman shrieking and laughing, followed by a man laughing in the background, and a woman speaks a few words",106048.wav,Are you kidding me? I'm getting a video. Come on buddy. Give it to Mo.,ac
A male speaking and shoes squeaking after a swoosh,106047.wav,My name is Adam I do the most nice watching this television,ac
A man talking as water splashes and gurgles and a motor engine hums in the background,106042.wav,Standing on the edge of the dock.,ac
A man delivers a speech while another man is speaking then audience claps,106040.wav,"represents peace tolerance and diversity. Mr. Speaker, he failed.",ac
A man speaks with rain falling and thunder cracking,104996.wav,"100% waterproof and windproof and yet extremely breathable. Check us out online at frogtalks.com. Frog Talks, stop the rain.",ac
A man speaking as well as an engine idling in the background,103134.wav,tired of sitting around I'm here with Terry from another edge driver in truck 138 and he's fired up the barbecue he's cooking fajitas,ac
A man narrating followed by another man speaking then speaking through a television speaker,103131.wav,Antford briefs the press on the ground rules.,ac
A man speaks as water splashes,103421.wav,Standing on the edge of the dock.,ac
A man yelling in the distance followed by two girls shouting as a motorboat engine runs and water sprays while wind blows into a microphone,104083.wav,"You know it? Woo hoo! Yep, keep going.",ac
"A woman and a child is communicating, and birds chirp",105218.wav,"Come on. Yeah. Come on, let's go. Daddy's waiting.",ac
A man speaks while another speaks on top as well followed by clapping,105216.wav,"represents peace tolerance and diversity. Mr. Speaker, he failed.",ac
A click occurs and then a woman speaks followed by a sewing machine stitching,105211.wav,So it's going to create the overlock stitch and cut off the excess fabric at the same time. It's pretty cool.,ac
Clicks of weapons being loaded followed by a gunshot and a clink then a man speaks,104326.wav,There you see? No problem.,ac
Two men talking on a microphone as a crowd of people laugh and applaud,104320.wav,"That bass is so much bigger than you do. I mean, it's so huge. Huge. Yes! AJ, I got one thing to tell you. Don't be jealous.",ac
Males speaking and birds chirping,105587.wav,We might be able to get away with taking off the bottom shelf. Oh yeah. Before you know we,ac
Strong gusts of wind are followed by cheers and shouts from several people plus the chatter of girl,106770.wav,"You know it? Woo hoo! Yep, keep going.",ac
Water trickling with man speaking,105878.wav,Here we have a Britain Stratton 5 horsepower horse drove L4 motor and it is on the back of this 17 foot,ac
Male speech and then a door shutting,105877.wav,and close this now it works actually,ac
A man talking followed by plastic clunking and rattling as frogs croak and crickets chirp,105199.wav,we got this year,ac
A girl speaks with some rustling of grass and a distant bird chirping,104045.wav,"Come on. Yeah. Come on, let's go. Daddy's waiting.",ac
Revving of a motorcycle with a man speaking,104043.wav,But as soon as you crack the throttle a little bit it suddenly turns into a sport bike. What the fuck are you doing? Crazy pigeons.,ac
Music plays continuously along with swooshing followed by a man speaking quickly,104042.wav,Come on!,ac
"Loud metal/rock music plays, with gunshots heard in the background",14424.wav,Come on!,ac
"An adult male speaks in the foreground while and another adult male speaks in the background, and a crowd applauds",103081.wav,"represents peace tolerance and diversity. Mr. Speaker, he failed.",ac
A woman cries and speaks and a second woman speaks in return,103552.wav,"I just don't have it. It will come, it will come, but for now I have to feed my child and",ac
A baby whines and laughs and a woman speaks,105286.wav,Keep going that way.,ac
Wind blowing with a man speaking followed by a click and light hum,104280.wav,"The wheel switch is turned up in the on position. Let's give it a start. Water pump, fuel pump, priming.",ac
A man speaks with some rattling and banging with a high frequency ringing,104287.wav,just like that and get a glass out,ac
A man speaking and plastic crumpling,105629.wav,a comic book type of seal. Okay.,ac
A female child speaks in a quiet environment,105622.wav,"know the things we say to others can be a way of bullying? Kids may become oppressed to even commit suicide. So next time, think before you speak.",ac
Male speaking with many people cheering in background,105626.wav,"Good football team to open goals here. What a way to do it. Well, we had one goal come to this team. To make sure 16 teams left.",ac
Male yelling and multiple gunshots,105624.wav,Fire! What's happening? They've hit the sand!,ac
A man whistling followed by a man yelling as plastic rustles and clanks in the background,102936.wav,"Mama Mama snow mama come over here, baby",ac
A man is speaking with whistling and rain background noise,102938.wav,"as the source gets closer. You begin to panic inside but remain stone on the outside. As soon as it began, the whistling suddenly ceased",ac
A man talking followed by wood sawing then paper shuffling,103719.wav,Cut the length. And then we're going to cut these,ac
An electronic beep followed by a man talking,103717.wav,Hello friends in this video we are going to show you how to load data from server-side in angularjs. We already have initial setup ready we just need to,ac
A click is followed by a woman speaking and then a sewing machine stitching,103755.wav,So it's going to create the overlock stitch and cut off the excess fabric at the same time. It's pretty cool.,ac
"A man speaks into an echoing, a crowd laughs and cheers",5873.wav,"That bass is so much bigger than you do. I mean, it's so huge. Huge. Yes! AJ, I got one thing to tell you. Don't be jealous.",ac
"Whistling is ongoing while an adult male speaks, and water is pattering in the background",105297.wav,"as the source gets closer. You begin to panic inside but remain stone on the outside. As soon as it began, the whistling suddenly ceased",ac
A man speaks with some clicking as wind blows and a distant motor hums,105291.wav,"And there's a plastic clip right here. You can use a regular scale driver to pry it out. Alright, flip this.",ac
A man talking as compressed air is spraying with wood clanking in the distance,105290.wav,"And as you can see here, hopefully you guys can see this.",ac
A man gives a speech followed by applause,105298.wav,You are wrong. Our children will not live under communism. Your children will live under freedom.,ac
Musical whistling followed by a man speaking,106678.wav,"Mama Mama snow mama come over here, baby",ac
A man is getting a glass and setting in down on a hard surface,102742.wav,just like that and get a glass out,ac
A man talking as a door closes shut followed by a door slowly creaking,102748.wav,me and just for me and you to hang out together. God's not like a cranky neighbor so we need to persist in,ac
A man speaking followed by a car driving by,107100.wav,This is a typical number plate. A lot of vehicle manufacturers will supply vehicles with number plates that are just stuck on with double sided tape. These can,ac
A man speaking followed by a faucet turning on and off while pouring water twice proceeded by water draining down a pipe,104839.wav,The one on the front is a proximity sensor. So it will turn on and off as you move your hand into and away from it. So showing off some of the,ac
"A loud whoosh with computer female voice, a beep then male speaking",104836.wav,Let's talk BB talking. That's what I want.,ac
Plastic crinkling and paper sliding as a man talks,104832.wav,a comic book type of seal. Okay.,ac
A small gun being shot repeatedly.,106998.wav,"Okay, let's go look at the paper.",ac
Food and oil sizzling as a man is speaking followed by wooden clanking then gravel scraping,107023.wav,with anything else you have to season your vegetables so I'm going to take some black pepper and if any of you that watch me know that I,ac
A man speaks followed by a toilet flushing,104388.wav,real-life example. Years of research has proven that ChromaFlash technology is superior to what you would be used to here in North America. Don't try this with your site.,ac
A man talks as a vehicle is accelerating,103008.wav,second gear the car doesn't spool up too quick anymore because of the turbo and,ac
Air hissing followed by a popping explosion then warning signals and a man laughing and talking,106991.wav,Okay.,ac
A baby laughs and a woman speaks,106547.wav,"Oh man, your mom's gonna love this",ac
Music and gunfire with male speech,105934.wav,Come on!,ac
A man is speaking followed by gunfire,105935.wav,"AA, west of your location. Objective Alpha has just been neutralized.",ac
"In an echoing space, an older man speaks loudly, followed by enthusiastic applause",107400.wav,You are wrong. Our children will not live under communism. Your children will live under freedom.,ac
Men speak with humming of an engine and some rustling,103218.wav,Now y'all let's come on inside of my truck. Here we go.,ac
A man and a woman talking as paper crinkles,103212.wav,It's going all the way around. Does it have to be straight? It doesn't have to be totally straight.,ac
A whooshing effect followed by a man talking as basketballs bounce and shoes squeak on a hard surface while a crowd of people yell in the background,104438.wav,My name is Adam I do the most nice watching this television,ac
Brief clanking followed by a woman speaking and sewing machine working,106360.wav,So it's going to create the overlock stitch and cut off the excess fabric at the same time. It's pretty cool.,ac
"Birds are chirping in the background, while an adult male speaks and footfalls occur",106369.wav,and see who we land on. Got my glasses taped so I cannot see.,ac
A male speaking and scraping,105474.wav,on the shaft but what I'm going to do is try to lightly scrape here.,ac
A girl giving a speech,103451.wav,"know the things we say to others can be a way of bullying? Kids may become oppressed to even commit suicide. So next time, think before you speak.",ac
A loud whoosh followed by a woman speaking then digital beeps and men speaking,103450.wav,Let's talk BB talking. That's what I want.,ac
A man talking followed by a faucet running,103982.wav,Then put the cap back on and it should work.,ac
An motor blowing air faintly before becoming more audible as a man talks,104661.wav,"The engine hasn't run for several days. I have the clean in my hands, but the final is still in my hands.",ac
A man talking as an electronic device hums followed by a door closing,104660.wav,and close this now it works actually,ac
An adult female is speaking in a quiet environment,104667.wav,"I'm told that I have very little time, so may I beg to stand on all existing protocol.",ac
"Birds chirp and sing in the background, while an adult male speaks and crunching footfalls occur",105394.wav,and see who we land on. Got my glasses taped so I cannot see.,ac
A sneeze and sniffle,105398.wav,What?,ac
An adult male is speaking and typing on a keyboard,4811.wav,underscore input open parentheses you are a winner face,ac
A man talking then whistling,106284.wav,was the day that I do my video and I dropped a couple of hydrocodone so I'm on the,ac
Male speech and then applause,105532.wav,Thank you.,ac
People are speaking followed by crowd noise,106136.wav,What's a beautiful apple? Is that that mare? No. Oh my god.,ac
A baby laughing and the female speech and male shouting,105787.wav,She loves that laugh.,ac
A woman is speaking,106896.wav,"as if it were a muscle. As if you were bringing your arm toward you, your tongue curls this way. And the R is made in the middle.",ac
A man talking followed by another man shouting then an aircraft engine starting up as vehicles drive by in the background,106897.wav,sounds like a top fuel alcohol,ac
A vehicle driving as a man and woman are talking and laughing,106893.wav,"What is she doing? What the fuck? What the fuck? She's in the middle of the road. Mate, he's on a joyride.",ac
An adult female speaks in a quiet environment,106608.wav,and went and done or that for short meaning the first morning of the first day of a new period that marks the beginning of a new year on a lunar calendar,ac
A woman delivers a speech,102982.wav,"in his hand, he had that acting degree. He had a dream and he wanted to fulfil. He was in this dreamland.",ac
A man talking followed by a camera muffling and footsteps shuffling then wood lightly clanking,102981.wav,stand for my first model. Here I started doing the arms.,ac
Men humming and talking with baby crying in the background,102988.wav,"We're going to show you how Janie stops crying when we hum the name, Notre Dame Victory March.",ac
Music followed by male speech and distant sizzling,103297.wav,"Hey, this is Big Kenny. Sound the System. Abarroza. You gotta check it out. Alright? Come on. Peace.",ac
A crowd of people applauding and cheering,103831.wav,Thank you.,ac
A child talking then laughing with a man as an animal gurgles followed by a man talking,103830.wav,"Is he talking? Ew! Buddy, no! He's talking.",ac
A man speaks followed by heavy sizzling,103833.wav,Epic sound effects,ac
Beep then male speaking multiple times,103832.wav,to add more varieties into your wor- So that's why I'm- That's the- The game has all- So may-,ac
Humming and vibrating followed by rustling and splashes with a man speaking briefly,105249.wav,Easy!,ac
A woman is speaking while food is frying and sizzling,105740.wav,and in a pan I have some 80-20 ground beef that I am browning up and in this pot I have some water boiling and I'm going to,ac
An engine running and male speech,105746.wav,"Hi, I'm Lyle Doverspike from Hope, Pennsylvania.",ac
A woman sobbing and speaking,106467.wav,"I just don't have it. It will come, it will come, but for now I have to feed my child and",ac
Man speaking and clinking dishes,631.wav,"Just give that a little mix. Now what this is, is the acids in",ac
A man speaks as food sizzles followed by some cracks,107335.wav,with anything else you have to season your vegetables so I'm going to take some black pepper and if any of you that watch me know that I,ac
A young girl speaks and cries,104177.wav,"I just don't have it. It will come, it will come, but for now I have to feed my child and",ac
A man talking followed by a goat baaing then a metal gate sliding shut as ducks quack and wind blows into a microphone,105229.wav,"Okay, what we're gonna do we're gonna take the mamas, we're gonna bring them over here and we're gonna make them submit on the ground.",ac
"A female child speaks, clattering and banging occur and the child screams, an adult male speaks in the background, and then more clattering and banging occur",103317.wav,"Okay, then...",ac
A man speaks as rain pitter-patters and thunder rumbles,103310.wav,"100% waterproof and windproof and yet extremely breathable. Check us out online at frogtalks.com. Frog Talks, stop the rain.",ac
"Water is running, splashing and gurgling, thumps occur, an adult male speaks, and people are talking in the background",103311.wav,It's much easier to clean up a bowl with a salt than when it's hot.,ac
Two people talking then water running,103956.wav,one in. Well that was on the go anyway. Well it was spraying all over so yeah.,ac
High wind with people yelling,103957.wav,"You know it? Woo hoo! Yep, keep going.",ac
A baby and a woman laugh,103951.wav,"Oh man, your mom's gonna love this",ac
"Music is ongoing while two adult males speak, and sizzling and crackling occur along with random metal scraping",106207.wav,"So Adam, what's for breakfast this morning? Here you go sausage.",ac
Swirling wind followed by a man speaking and then a child talks,106889.wav,"No, it's still there. I think it's huge.",ac
A baby cries and a woman speaks followed by some light rustling and someone speaking faintly over a television,103340.wav,"Let me sit. Oh, you're hiding?",ac
Rustling followed by whistling,105679.wav,I'm sorry.,ac
A deep voice followed by sizzling food,102900.wav,Epic sound effects,ac
A man speaking as a man talks over an intercom in the background followed by a girl talking then a group of people laughing and a man and woman talk,106594.wav,had scoliosis and had surgery here and they just do a great job here.,ac
Wind blows hard then a man speaks,106591.wav,This is the latest invention in home electricity.,ac
A man and a woman talking followed by a bell ringing and a cat meowing as a crowd of people applaud,103123.wav,"You're pushing it. You're pushing it, professor. Jerry Coyne is a professor in the Department of Ecology and Evolution at the University of",ac
A man speaks then a second man speaks followed by a woman speaking,103839.wav,"calls when you go into the paint. I'll show you- oh, the football stuff, I'm getting ready for football season and I'm getting used to the heavy helmet. Okay, I'll show you how to pull up now.",ac
Male speech and then scraping,106069.wav,on the shaft but what I'm going to do is try to lightly scrape here.,ac
A man talking in the foreground as another man talks in the background followed by a crowd of people applauding,104714.wav,"represents peace tolerance and diversity. Mr. Speaker, he failed.",ac
"A brisk wind is blowing, hissing is ongoing, and an adult male speaks",104717.wav,This is the latest invention in home electricity.,ac
People laugh followed by whispering and a child speaking,103398.wav,I got it.,ac
A man talking as a motorbike engine revs and accelerates,103395.wav,But as soon as you crack the throttle a little bit it suddenly turns into a sport bike. What the fuck are you doing? Crazy pigeons.,ac
A young boy talking,103391.wav,"calls when you go into the paint. I'll show you- oh, the football stuff, I'm getting ready for football season and I'm getting used to the heavy helmet. Okay, I'll show you how to pull up now.",ac
A low slow scream then a crash then birds chirping and men speaking,103971.wav,"We've got the beach to ourselves! Oh, the beach? You need a tap of that. Twenty pence please. Here you are.",ac
Person talking as two different gunshot sounds are firing at a constant rhythmic rate where one is low like a bongo and the other is a rifle,103976.wav,I didn't need you. Hurry!,ac
A man speaks followed by a beep and a child speaks,105024.wav,Cranking noises Cranking see you know I've taken the parts out I,ac
Clicking on a keyboard with a man speaking,105021.wav,"When you're in, just type in claim web. If it doesn't work, it's probably because you put it under the wrong process.",ac
A woman talking before and after a pig oinking then cloth rustling followed by camera muffling,104867.wav,What are you doing under there? Night night.,ac
A car passes by shortly after a man starts talking,104862.wav,This is a typical number plate. A lot of vehicle manufacturers will supply vehicles with number plates that are just stuck on with double sided tape. These can,ac
Men speak and laugh with humming of an engine,104868.wav,"What is she doing? What the fuck? What the fuck? She's in the middle of the road. Mate, he's on a joyride.",ac
A man speaks over an intercom as crowd of people talking in the background followed by a dog barking,107077.wav,and contain them until that person can be taken into custody effectively and safely on the part of the other team of police sheriffs.,ac
Hammering and then a man speaks followed by rubbing and then a second man speaks,105345.wav,We might be able to get away with taking off the bottom shelf. Oh yeah. Before you know we,ac
"An appliance motor is running and obvious vibration and knocking are occurring, and an adult male and a child speak and the vibration continues, followed by an electronic beep",103587.wav,Cranking noises Cranking see you know I've taken the parts out I,ac
A man and an elderly woman talking as plastic clacks followed by a faucet pouring water as water runs down a drain,103580.wav,one in. Well that was on the go anyway. Well it was spraying all over so yeah.,ac
An idle motorboat engine running as a man is speaking while wind blows into a microphone,106374.wav,"option that is on this boat. It uses GPS fixation and is keeping us within a few feet of our location, which is really nice when you need to single hand the boat or",ac
A man speaks briefly followed by a succession of several eructations,104237.wav,What was that?,ac
Ducks quack and a man speaks,104235.wav,Your competition chatter is more of a rolling type of chatter.,ac
Three young ladies' speech while sheep bleats,104239.wav,Baby's running around on Rio.,ac
A cat screaming then meowing as a young boy is talking during a series of electronic buzzing,104586.wav,it's cracked see you can see oopsie when I do this it opens,ac
A man talking followed by a toilet flushing,103749.wav,real-life example. Years of research has proven that ChromaFlash technology is superior to what you would be used to here in North America. Don't try this with your site.,ac
A woman is performing a speech,106515.wav,"know the things we say to others can be a way of bullying? Kids may become oppressed to even commit suicide. So next time, think before you speak.",ac
Women talk while food fries,106516.wav,"and then you drink the drink, let all the scratch dry well",ac
Man speaks followed by buzzing and then a loud burp,106512.wav,but never mind I don't want kids anymore. That lady in the jump,ac
Young man speaking with slight movement sounds,105967.wav,"calls when you go into the paint. I'll show you- oh, the football stuff, I'm getting ready for football season and I'm getting used to the heavy helmet. Okay, I'll show you how to pull up now.",ac
"Many insects are buzzing, and an adult male speaks",105961.wav,I've got gloves covered in mid repellent. Still fishing.,ac
One toddler crying with several others laughing,103262.wav,Who is that?,ac
Gunshots followed by people speaking and explosions,103267.wav,I didn't need you. Hurry!,ac
A girl speaking and brushing teeth,102829.wav,This is the last time you did that first thing. Same thing.,ac
A woman performs a speech,102825.wav,I'm a hillbilly. I live very far away. I live up in the hills of East Tennessee. And the only thing I ever did was that I went and got myself on TV.,ac
A digital beep followed by a man speaking,102820.wav,Hello friends in this video we are going to show you how to load data from server-side in angularjs. We already have initial setup ready we just need to,ac
A man talking as water streams in the background,104798.wav,Here we have a Britain Stratton 5 horsepower horse drove L4 motor and it is on the back of this 17 foot,ac
Man speaking while sawing something,104791.wav,Cut the length. And then we're going to cut these,ac
A man speaks along with a running boat and wind blowing by and water splashing quietly,104793.wav,"option that is on this boat. It uses GPS fixation and is keeping us within a few feet of our location, which is really nice when you need to single hand the boat or",ac
Male speech and then sizzling,105440.wav,Epic sound effects,ac
A wrapper crinkling and a woman's soft voice,105446.wav,And it's pretty soft too as well. Here's the tag.,ac
A male speech and then repeated gunfire followed by a male speech.,105447.wav,"AA, west of your location. Objective Alpha has just been neutralized.",ac
Several quacks of a duck are followed by a man speaking,102798.wav,Your competition chatter is more of a rolling type of chatter.,ac
A woman talking as a sheep baa and birds are cawing in the background followed by a woman speaking in the foreground then another woman and kid talking,107176.wav,Baby's running around on Rio.,ac
A man talks loudly followed by a baby crying and female voice laughing and talking,107173.wav,"Hey kid, good thing you're crying baby, get back over here, huh? No! No! Come by, cheese!",ac
Orchestral music playing followed by heavy fabric thumping then a person whistling,107178.wav,I'm sorry.,ac
A woman talking then laughing followed by wood thumping as a young kid screams,106490.wav,Keep going that way.,ac
A man talking while bongos play followed by frogs croaking,106493.wav,his amazing collection of very colorful frogs. These frogs have evolved colorfully to remind predators to look elsewhere.,ac
Woman speaks and then sewing machine stitches,106497.wav,So it's going to create the overlock stitch and cut off the excess fabric at the same time. It's pretty cool.,ac
Released air hissing followed by a popping explosion then a metal ding persists as a person is laughing and a man is talking.,106498.wav,Okay.,ac
A man speaks as food sizzles with some banging and some cracking,103460.wav,with anything else you have to season your vegetables so I'm going to take some black pepper and if any of you that watch me know that I,ac
A man talking followed by a goat talking as a metal gate slides shut while ducks quack and wind blows into a microphone,103461.wav,"Okay, what we're gonna do we're gonna take the mamas, we're gonna bring them over here and we're gonna make them submit on the ground.",ac
A woman is giving a speech,7294.wav,and went and done or that for short meaning the first morning of the first day of a new period that marks the beginning of a new year on a lunar calendar,ac
Child talking then door crashing and her screaming,34244.wav,"Okay, then...",ac
A woman talking then laughing followed by plastic tapping and birds chirping in the background,106960.wav,See told ya.,ac
Water splashes followed by a girl speaking then scraping followed by spitting,106962.wav,This is the last time you did that first thing. Same thing.,ac
Woman laughing and talking with another man and woman while something is clanging,106967.wav,Are you kidding me? I'm getting a video. Come on buddy. Give it to Mo.,ac
"An audience applauds and cheers as an adult male speaks, a bell and buzzer ring, and the adult male speaks again",104616.wav,"You're pushing it. You're pushing it, professor. Jerry Coyne is a professor in the Department of Ecology and Evolution at the University of",ac
A man is speaking as frogs croak,104916.wav,his amazing collection of very colorful frogs. These frogs have evolved colorfully to remind predators to look elsewhere.,ac
Metal squeaking then plastic clacking as a man is talking followed by a faucet pouring water,106102.wav,Then put the cap back on and it should work.,ac
Continuous digital beeps with a person speaking and bird chirping in the background,103055.wav,That isn't wired up by the way. Let's get this one here too. That's it.,ac
A man talking as music is playing followed by a frog croaking,103771.wav,his amazing collection of very colorful frogs. These frogs have evolved colorfully to remind predators to look elsewhere.,ac
An engine running consistently with brief muffled female speech,105108.wav,Unless they have free naps.,ac
Clip-clop of horse while man speaks,105103.wav,early on in the ball game when we bought him last August. He was kind of the session star when we bought him and he looks like he's filling out and growing up pretty nicely.,ac
Tapping noises followed by a man talking with gurgling background noises,105101.wav,Next step is we're going to go ahead and peel of course some apples. I got this nifty little device here that I,ac
A woman speaking,107328.wav,"in his hand, he had that acting degree. He had a dream and he wanted to fulfil. He was in this dreamland.",ac
A man speaks before a toilet flush,107240.wav,real-life example. Years of research has proven that ChromaFlash technology is superior to what you would be used to here in North America. Don't try this with your site.,ac
A woman speaks with others speaking in the distance and wind blowing,105282.wav,I'm melting!,ac
A woman talking as food and oil sizzles followed by water gurgling,105284.wav,and in a pan I have some 80-20 ground beef that I am browning up and in this pot I have some water boiling and I'm going to,ac
Motorcycle engine idling as man starts talking,105285.wav,"Hi, I'm Lyle Doverspike from Hope, Pennsylvania.",ac
Much gunfire and guns clicking while people talk in the background,103155.wav,I didn't need you. Hurry!,ac
A woman talking followed by a toilet flushing while a kid talks,104468.wav,Well see you next Tuesday,ac
A man speaks as a motorcycle accelerates,104463.wav,But as soon as you crack the throttle a little bit it suddenly turns into a sport bike. What the fuck are you doing? Crazy pigeons.,ac
Applause from a crowd with distant clicking and a man speaking over a loudspeaker,104461.wav,Thank you.,ac
A male speaking and repeated beeps,105736.wav,to add more varieties into your wor- So that's why I'm- That's the- The game has all- So may-,ac
"A woman speaks, and a motor vehicle revs its engine",106419.wav,Unless they have free naps.,ac
An adult female is speaking and her voice is amplified,106416.wav,I'm a hillbilly. I live very far away. I live up in the hills of East Tennessee. And the only thing I ever did was that I went and got myself on TV.,ac
A man speaks while water slaps on a surface,105234.wav,Standing on the edge of the dock.,ac
"A woman is speaking, then water runs from a faucet, then she speaks again and there is a slapping sound",104109.wav,pour it up again. After that just dry up and continue your night regimen as normal and it's as simple as that.,ac
A man talking as a sink faucet turns on and off twice as water sprays then drains down a pipe,103346.wav,The one on the front is a proximity sensor. So it will turn on and off as you move your hand into and away from it. So showing off some of the,ac
A group of people laughing followed by a man talking then more laughter,103344.wav,What was Kevin doing mum?,ac
"A woman speaks affectionately as a pig oinks quietly, then wood creaks",103341.wav,What are you doing under there? Night night.,ac
A man talking near a road with fast moving vehicles passing by,1229.wav,This is a typical number plate. A lot of vehicle manufacturers will supply vehicles with number plates that are just stuck on with double sided tape. These can,ac
A man speaks as a machine hums quietly and then increases in volume,106845.wav,"The engine hasn't run for several days. I have the clean in my hands, but the final is still in my hands.",ac
A man talking followed by plastic crinkling and crumpling,104349.wav,that have an HDMI connection but do not come with a cable for some reason they like to cut costs so you do have the cable included here.,ac
"An adult male speaks and then metal scraping occurs, followed by metal clattering and another metal scrape",106271.wav,on the shaft but what I'm going to do is try to lightly scrape here.,ac
A man talking followed by a goat baaing then a metal gate sliding as ducks quack and wind blows into a microphone,104697.wav,"Okay, what we're gonna do we're gonna take the mamas, we're gonna bring them over here and we're gonna make them submit on the ground.",ac
Man talking in the wind and someone yells in the background while an engine makes squealing and air puffing sounds,106180.wav,sounds like a top fuel alcohol,ac
"Gunfire is ongoing and water is splashing, adult males are shouting in the background, and an adult male speaks in the foreground",106181.wav,Fire! What's happening? They've hit the sand!,ac
A man and a woman talking followed by a bell ringing as a crowd of people applaud,106186.wav,"You're pushing it. You're pushing it, professor. Jerry Coyne is a professor in the Department of Ecology and Evolution at the University of",ac
Paper crackling with female speaking lightly in the background,105564.wav,And it's pretty soft too as well. Here's the tag.,ac
"One man speaking, then another man speaking",4373.wav,Antford briefs the press on the ground rules.,ac
"Women talk over sizzling and clanking, motor sound in the distance",103630.wav,"and then you drink the drink, let all the scratch dry well",ac
A child laughing followed by a man talking as snow shuffles in the background,106702.wav,right you hit mommy with a snowball,ac
A man is giving a speech and a crowd cheers,12089.wav,"Good football team to open goals here. What a way to do it. Well, we had one goal come to this team. To make sure 16 teams left.",ac
Rain falling as a machine motor runs followed by a man speaking,106842.wav,Little bit of bad weather.,ac
"An adult male speaks while thumps occur in the background, then frogs croak and the adult male speaks again",106020.wav,his amazing collection of very colorful frogs. These frogs have evolved colorfully to remind predators to look elsewhere.,ac
A man is speaking followed by saw blade noises,103848.wav,"or low, so keep it at the same angle, apply constant even pressure and slowly swipe down the face of the blade, the draw knife.",ac
A man speaking with a buzzing sound in the background,15988.wav,and so also things like dandelions are brilliant. Lots of flowers right through the season from,ac
A man talking followed by plastic crinkling and crumpling,104951.wav,that have an HDMI connection but do not come with a cable for some reason they like to cut costs so you do have the cable included here.,ac
A man talking followed by plastic creaking and clacking as frogs croak and crickets chirp,107369.wav,we got this year,ac
Metal clacking followed by a man talking as metal rattles while light guitar music plays in the background,104182.wav,Next step is we're going to go ahead and peel of course some apples. I got this nifty little device here that I,ac
